Address,Vendor,Claim asset,Claimed ($),COMP balance,Available to claim (COMP),Available to claim ($),Unclaimable streaming ($),Stream end (timestamp),Stream end (UTC),Budget (days),Deficit (days),Required top-up ($),Total budget ($),Avg COMP price ($),COMP price ($),Remaining Stream Time (s),Remaining Stream Time after +567000s (s),Remaining ($),Remaining after claim +567000s ($)
0xF088339DD8e79819A41aDD5FFB75d9F245AfaAb1,Woof Software,USDC,1399728.310502,11810.657963993732199021,3051.437312823302122255,60391.933029,173356.426077,1779768335,2026-05-26T04:05:35.000Z,42.659,55.8689,366523.330392,2000000.0,33.973706,19.791307,8512824,7945824,600271.689498,503920.78894
0x334791289a906Ac8f96ac0f90E7A91Bf4AaE4A60,SSP,USD,872464.231354,8451.242254447683251579,460.990805282448904551,9076.959665,157328.929961,1786905635,2026-08-16T18:40:35.000Z,34.7075,146.4281,711129.87902,1750000.0,28.213396,19.69011,15650124,15083124,877535.768646,836994.712393
0xAF9CEE006AE377e88f3BBd668e3d67807F546Bd8,ZeroShadow,USD,112235.825722,2048.616595623165742169,695.711204101957784898,13698.630137,26638.855978,1786905635,2026-08-16T18:40:35.000Z,58.8927,122.2429,97426.688163,250000.0,31.382492,19.69011,15650124,15083124,137764.174278,119570.673199
0x36a0eB84154797DAdCEaCFD046785dB31094C308,Tally,USD,76098.05936,812.489526685985640566,350.855856620404863152,6908.390411,9089.617743,1785340235,2026-07-29T15:50:35.000Z,38.9284,124.0891,57903.932486,150000.0,30.592055,19.69011,14084724,13517724,73901.94064,64296.627664
0xEA2B6BC719CF6D2Fed07865d26987D32d570DbBD,Gauntlet,USDC,609124.018264,13393.043787359243579929,390.940782921096651059,7698.348554,256035.505211,1790709455,2026-09-29T19:17:35.000Z,59.7905,165.3707,737142.127971,1610000.0,23.462177,19.691853,19453944,18886944,1000875.981736,964230.664321
