Address,Vendor,Claim asset,Claimed ($),COMP balance,Available to claim (COMP),Available to claim ($),Unclaimable streaming ($),Stream end (timestamp),Stream end (UTC),Budget (days),Deficit (days),Required top-up ($),Total budget ($),Avg COMP price ($),COMP price ($),Remaining ($),Remaining after claim +567000s ($)
0xF088339DD8e79819A41aDD5FFB75d9F245AfaAb1,Woof Software,USDC,1242182.648401,20294.867739108914540334,7333.195415513474956016,145780.821918,257672.561236,1779768335,2026-05-26T04:05:35.000Z,73.6302,38.0664,354363.968445,2000000.0,37.968505,19.879576,757817.351599,576077.562152
0x334791289a906Ac8f96ac0f90E7A91Bf4AaE4A60,SSP,USD,698195.395738,17062.932680221323425183,6078.950729305602587849,120208.618721,217203.487439,1786905635,2026-08-16T18:40:35.000Z,70.3745,123.9297,714392.498102,1750000.0,31.292277,19.774567,1051804.604262,900131.888953
0xAF9CEE006AE377e88f3BBd668e3d67807F546Bd8,ZeroShadow,USD,112235.825722,2048.616595623165742169,236.618757663139524329,4679.033486,35831.47272,1786905635,2026-08-16T18:40:35.000Z,59.1453,135.1589,97253.668072,250000.0,31.382492,19.774567,137764.174278,128590.269851
0x36a0eB84154797DAdCEaCFD046785dB31094C308,Tally,USD,76098.05936,812.489526685985640566,75.684712442935923689,1496.63242,14569.996193,1785340235,2026-07-29T15:50:35.000Z,39.0954,137.0907,57835.312027,150000.0,30.592055,19.774567,73901.94064,69708.385655
0xEA2B6BC719CF6D2Fed07865d26987D32d570DbBD,Gauntlet,USDC,401070.726788,23712.916696495145497741,7971.081516053477875411,157665.437595,311368.45449,1790709455,2026-09-29T19:17:35.000Z,106.3337,131.9962,739895.381127,1610000.0,25.640492,19.779679,1208929.273212,1022316.866756
