Address,Vendor,Claim asset,Claimed ($),COMP balance,Available to claim (COMP),Available to claim ($),Unclaimable streaming ($),Stream end (timestamp),Stream end (UTC),Budget (days),Deficit (days),Required top-up ($),Total budget ($),Avg COMP price ($),COMP price ($)
0xF088339DD8e79819A41aDD5FFB75d9F245AfaAb1,Woof Software,USDC,1399728.310502,11810.657963993732199021,1787.963012241618153056,29042.61796,162802.752864,1779768335,2026-05-26T04:05:35.000Z,35.0117,69.2374,408426.318674,2000000.0,33.973706,16.24341
0x334791289a906Ac8f96ac0f90E7A91Bf4AaE4A60,SSP,USD,698195.395738,17062.932680221323425183,9648.347338004115169424,155915.810502,119818.55987,1786905635,2026-08-16T18:40:35.000Z,57.5103,129.3465,776070.23389,1750000.0,31.292277,16.159846
0xAF9CEE006AE377e88f3BBd668e3d67807F546Bd8,ZeroShadow,USD,112235.825722,2048.616595623165742169,605.21342851296702547,9780.156013,23325.173399,1786905635,2026-08-16T18:40:35.000Z,48.3337,138.5231,104658.844866,250000.0,31.382492,16.159846
0x36a0eB84154797DAdCEaCFD046785dB31094C308,Tally,USD,76098.05936,812.489526685985640566,282.017719453033120165,4557.363014,8572.342897,1785340235,2026-07-29T15:50:35.000Z,31.9489,136.7898,60772.234729,150000.0,30.592055,16.159846
0xEA2B6BC719CF6D2Fed07865d26987D32d570DbBD,Gauntlet,USDC,401070.726788,23712.916696495145497741,11788.170857213246029944,190517.891933,192725.187533,1790709455,2026-09-29T19:17:35.000Z,86.8842,143.9982,825686.193746,1610000.0,25.640492,16.161785
